% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 78.68    0.248705          95      2619           read
  4.48    0.014165           9      1527         2 open
  4.43    0.013998           5      2842           fstat64
  3.77    0.011924           5      2551         6 _llseek
  2.88    0.009093           6      1528           close
  2.09    0.006593          17       392           getdents64
  1.92    0.006065           5      1244      1232 ioctl
  0.54    0.001703           4       384        58 stat64
  0.48    0.001526           8       195           lstat64
  0.30    0.000947          38        25           munmap
  0.25    0.000775          11        68           rt_sigaction
  0.10    0.000313           5        63           mmap2
  0.03    0.000103           6        16           brk
  0.01    0.000045           8         6         2 readlink
  0.01    0.000033          17         2           write
  0.01    0.000027          14         2           clock_gettime
  0.00    0.000014          14         1           sysinfo
  0.00    0.000013          13         1           uname
  0.00    0.000013           7         2           futex
  0.00    0.000012          12         1           ugetrlimit
  0.00    0.000011          11         1           rt_sigprocmask
  0.00    0.000009           9         1           sigaltstack
  0.00    0.000009           9         1           fcntl64
  0.00    0.000008           8         1           getrandom
  0.00    0.000000           0         1           execve
  0.00    0.000000           0        10        10 access
  0.00    0.000000           0         3           dup
  0.00    0.000000           0        13           mprotect
  0.00    0.000000           0         1           getcwd
  0.00    0.000000           0         1           getuid32
  0.00    0.000000           0         1           getgid32
  0.00    0.000000           0         1           geteuid32
  0.00    0.000000           0         1           getegid32
  0.00    0.000000           0         1           set_thread_area
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           set_robust_list
------ ----------- ----------- --------- --------- ----------------
100.00    0.316104                 13508      1310 total
